date_nr,xau,xag,xpt,cad,eur,jpy,gbp,chf,aud,hkd,nzd,krw,mxn,low,high,open,close,volume,xau_lag,xag_lag,xpt_lag,cad_lag,eur_lag,jpy_lag,gbp_lag,chf_lag,aud_lag,hkd_lag,nzd_lag,krw_lag,mxn_lag,low_lag,high_lag,open_lag,close_lag,volume_lag,xau_prc,xag_prc,xpt_prc,cad_prc,eur_prc,jpy_prc,gbp_prc,chf_prc,aud_prc,hkd_prc,nzd_prc,krw_prc,mxn_prc,low_prc,high_prc,open_prc,close_prc,volume_prc
20170901,1326.9,17.5,1002,0.8071,1.188,0.0090799,1.2962,1.0389,0.79709,0.12781,0.7167,0.00089266,0.056182,4706,4948,4743.94,4947.99,16759.143608382205,1314.9,17.34,989,0.7977,1.1875,0.0090779,1.2892,1.03885,0.7922,0.12778,0.7161,0.00088944,0.05615,4580.84,4769.03,4581.98,4743.94,13628.457778114314,0.9125475285171103,5.88235294117647,1.314459049544995,0.0,0.0,,0.0,0.0,0.0,,0.0,,,2.728661864221786,3.7534074229398193,3.535573985159319,4.3001686340640815,22.97475785148224
20170905,1335.4,17.88,1009,0.80834,1.1909,0.0091828,1.3009,1.04535,0.80018,0.12779,0.72387,0.00088433,0.055994,4242.38,4514.95,4498.46,4432.51,17315.430192011023,1326.9,17.5,1002,0.8071,1.188,0.0090799,1.2962,1.0389,0.79709,0.12781,0.7167,0.00089266,0.056182,4706,4948,4743.94,4947.99,16759.143608382205,0.6028636021100227,0.0,0.6986027944111777,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-9.859753506162345,-8.751010509296686,-5.185497470489039,-10.408245755860953,3.317620383077749
20170906,1342.9,17.77,1014,0.81539,1.1928,0.0091732,1.3053,1.04607,0.79917,0.12779,0.72064,0.00088226,0.05614,4431,4692,4432.51,4616.18,16174.304331050924,1335.4,17.88,1009,0.80834,1.1909,0.0091828,1.3009,1.04535,0.80018,0.12779,0.72387,0.00088433,0.055994,4242.38,4514.95,4498.46,4432.51,17315.430192011023,0.599250936329588,0.0,0.4955401387512388,0.0,0.0,,0.0,0.0,0.0,,0.0,,,4.455445544554455,3.9202657807308974,-1.4450867052023122,4.128129934581548,-6.58966214265088
20170907,1344.4,17.79,1010,0.82318,1.2006,0.0092114,1.3088,1.05038,0.80326,0.12798,0.72218,0.00088657,0.05652,4475.01,4665.44,4616.18,4624.18,8455.041479830785,1342.9,17.77,1014,0.81539,1.1928,0.0091732,1.3053,1.04607,0.79917,0.12779,0.72064,0.00088226,0.05614,4431,4692,4432.51,4616.18,16174.304331050924,0.07446016381236038,0.0,-0.39447731755424065,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.9930038366057323,-0.5754475703324808,4.128129934581548,0.17331022530329288,-47.724743415357985
20170908,1351.4,18.21,1017,0.82427,1.2035,0.0092812,1.32,1.05679,0.80704,0.12804,0.72749,0.00088279,0.056479,4140,4679.99,4624.18,4350,22101.268559666514,1344.4,17.79,1010,0.82318,1.2006,0.0092114,1.3088,1.05038,0.80326,0.12798,0.72218,0.00088657,0.05652,4475.01,4665.44,4616.18,4624.18,8455.041479830785,0.5208333333333333,0.0,0.6930693069306931,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-7.486033519553073,0.3215434083601286,0.17331022530329288,-5.92560553633218,161.39562389118865
20170911,1334.9,17.85,997,0.82454,1.1973,0.0091689,1.3183,1.04922,0.80335,0.12801,0.72568,0.0008839,0.056637,4111.14,4365,4251.36,4210.72,9068.255075620644,1351.4,18.21,1017,0.82427,1.2035,0.0092812,1.32,1.05679,0.80704,0.12804,0.72749,0.00088279,0.056479,4140,4679.99,4624.18,4350,22101.268559666514,-1.1843079200592153,0.0,-1.966568338249754,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-0.7004830917874396,-6.730769230769231,-8.066608996539792,-3.195402298850575,-58.97018234469028
20170912,1328.9,17.75,984,0.82244,1.1957,0.0090879,1.3274,1.04161,0.8027,0.12802,0.72901,0.00088659,0.056296,4080,4375.37,4210.72,4164.52,12373.398577700485,1334.9,17.85,997,0.82454,1.1973,0.0091689,1.3183,1.04922,0.80335,0.12801,0.72568,0.0008839,0.056637,4111.14,4365,4251.36,4210.72,9068.255075620644,-0.44943820224719105,0.0,-1.3039117352056169,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-0.7540744344441742,0.22909507445589922,-0.9409550693954364,-1.0923771075753979,36.44684605205117
20170913,1332.9,17.91,985,0.82055,1.1912,0.0090506,1.3226,1.03799,0.79946,0.128,0.7247,0.00088537,0.056273,3726,4174.53,4164.52,3855.32,22842.53225552012,1328.9,17.75,984,0.82244,1.1957,0.0090879,1.3274,1.04161,0.8027,0.12802,0.72901,0.00088659,0.056296,4080,4375.37,4210.72,4164.52,12373.398577700485,0.3009781790820165,0.0,0.10162601626016261,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-8.676470588235293,-4.571428571428571,-1.0923771075753979,-7.44297719087635,84.61973652307444
20170914,1325.9,17.75,983,0.81981,1.1892,0.0090425,1.3379,1.03566,0.79792,0.128,0.72077,0.00088129,0.056395,3230.05,3923,3855.61,3250.4,36338.02724747286,1332.9,17.91,985,0.82055,1.1912,0.0090506,1.3226,1.03799,0.79946,0.128,0.7247,0.00088537,0.056273,3726,4174.53,4164.52,3855.32,22842.53225552012,-0.5251312828207052,0.0,-0.20304568527918782,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-13.311862587224907,-6.0359281437125745,-7.418967587034814,-15.693904020752269,59.07717900450904
20170915,1329.9,17.7,979,0.82088,1.1955,0.0090133,1.3578,1.04211,0.80069,0.12791,0.7287,0.00088327,0.056575,2975.01,3894.48,3249.99,3740.02,54488.48241947777,1325.9,17.75,983,0.81981,1.1892,0.0090425,1.3379,1.03566,0.79792,0.128,0.72077,0.00088129,0.056395,3230.05,3923,3855.61,3250.4,36338.02724747286,0.301659125188537,0.0,-0.40691759918616477,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-7.894736842105263,-0.7392301809839409,-15.715767634854771,15.076923076923077,49.94771313776212
20170918,1314.4,17.53,962,0.81713,1.1947,0.0089721,1.3515,1.04053,0.79703,0.12794,0.72667,0.00088577,0.056373,3717.56,4130,3719.98,4100,16906.723389980838,1329.9,17.7,979,0.82088,1.1955,0.0090133,1.3578,1.04211,0.80069,0.12791,0.7287,0.00088327,0.056575,2975.01,3894.48,3249.99,3740.02,54488.48241947777,-1.2030075187969926,0.0,-1.7364657814096014,0.0,0.0,,0.0,0.0,0.0,,0.0,,,24.974789915966387,6.0606060606060606,14.461538461538462,9.62566844919786,-68.9711496109235
20170919,1313.4,17.15,953,0.81453,1.1983,0.008968,1.3511,1.03845,0.8006,0.12814,0.73129,0.00088458,0.056292,3850.44,4125.22,4100,3910.11,13781.155386421182,1314.4,17.53,962,0.81713,1.1947,0.0089721,1.3515,1.04053,0.79703,0.12794,0.72667,0.00088577,0.056373,3717.56,4130,3719.98,4100,16906.723389980838,-0.076103500761035,-5.555555555555555,-0.9355509355509356,0.0,0.0,,0.0,0.0,0.0,,0.0,,,3.5502958579881656,-0.12106537530266344,10.21505376344086,-4.634146341463414,-18.489383095759155
20170920,1314.9,17.38,948,0.8148,1.1975,0.0089628,1.3544,1.03805,0.80567,0.12821,0.73755,0.0008865,0.056417,3850.01,4044,3910.11,3872.06,9910.401114290466,1313.4,17.15,953,0.81453,1.1983,0.008968,1.3511,1.03845,0.8006,0.12814,0.73129,0.00088458,0.056292,3850.44,4125.22,4100,3910.11,13781.155386421182,0.15232292460015232,0.0,-0.5246589716684155,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,-1.9636363636363636,-4.634146341463414,-0.9718670076726342,-28.089398447137366
20170921,1293.8,16.95,936,0.81044,1.1928,0.0088986,1.3546,1.02926,0.79318,0.12811,0.73118,0.00088257,0.055985,3571,3903.57,3872.07,3617.47,14978.48542600943,1314.9,17.38,948,0.8148,1.1975,0.0089628,1.3544,1.03805,0.80567,0.12821,0.73755,0.0008865,0.056417,3850.01,4044,3910.11,3872.06,9910.401114290466,-1.596958174904943,0.0,-1.2658227848101267,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-7.246753246753247,-3.4619188921859543,-0.9718670076726342,-6.585743801652892,51.14026236125127
20170922,1297.4,16.97,938,0.81189,1.1958,0.0089226,1.3534,1.0315,0.79695,0.12806,0.73289,0.00088333,0.056329,3509.79,3767.77,3617.47,3619.01,12649.01130076063,1293.8,16.95,936,0.81044,1.1928,0.0088986,1.3546,1.02926,0.79318,0.12811,0.73118,0.00088257,0.055985,3571,3903.57,3872.07,3617.47,14978.48542600943,0.23183925811437403,0.0,0.2136752136752137,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-1.708204984598152,-3.483606557377049,-6.585743801652892,0.0552944429084877,-15.549472559754307
20170925,1295.9,16.95,922,0.81031,1.1858,0.0089377,1.3483,1.03152,0.79459,0.12797,0.72709,0.00088161,0.05596,3669.01,3969.37,3669.01,3919.78,9583.737589110984,1297.4,16.97,938,0.81189,1.1958,0.0089226,1.3534,1.0315,0.79695,0.12806,0.73289,0.00088333,0.056329,3509.79,3767.77,3617.47,3619.01,12649.01130076063,-0.07710100231303006,0.0,-1.7057569296375266,0.0,0.0,,0.0,0.0,0.0,,0.0,,,4.52991452991453,5.334394904458599,1.4376555156206803,8.317214700193423,-24.231164518934303
20170926,1303.4,17.01,930,0.80841,1.1787,0.0089167,1.3436,1.03032,0.78852,0.128,0.71972,0.00087874,0.055626,3854.29,3960,3919.98,3885.09,5893.223538330775,1295.9,16.95,922,0.81031,1.1858,0.0089377,1.3483,1.03152,0.79459,0.12797,0.72709,0.00088161,0.05596,3669.01,3969.37,3669.01,3919.78,9583.737589110984,0.5401234567901234,0.0,0.8676789587852495,0.0,0.0,,0.0,0.0,0.0,,0.0,,,5.0422458435541015,-0.22675736961451248,6.841101117470701,-0.8928571428571428,-38.51210350584307
20170927,1287.3,16.89,920,0.80567,1.1744,0.0088624,1.3399,1.02707,0.78593,0.12804,0.72148,0.00087415,0.05514,3880.36,4228.39,3885.09,4200,12072.668695739267,1303.4,17.01,930,0.80841,1.1787,0.0089167,1.3436,1.03032,0.78852,0.128,0.71972,0.00087874,0.055626,3854.29,3960,3919.98,3885.09,5893.223538330775,-1.2279355333844972,0.0,-1.0752688172043012,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.6746237675142709,6.767676767676768,-0.8928571428571428,8.108108108108109,104.87018496521297
20170928,1285.8,16.82,922,0.80321,1.1785,0.0088835,1.3436,1.02948,0.78394,0.12804,0.72185,0.00087229,0.054964,4122,4269.95,4200,4189.42,7903.920890540759,1287.3,16.89,920,0.80567,1.1744,0.0088624,1.3399,1.02707,0.78593,0.12804,0.72148,0.00087415,0.05514,3880.36,4228.39,3885.09,4200,12072.668695739267,-0.0777000777000777,0.0,0.21739130434782608,0.0,0.0,,0.0,0.0,0.0,,0.0,,,6.237113402061856,0.9933774834437087,8.108108108108109,-0.2619047619047619,-34.53159943675971
20170929,1289.8,16.86,923,0.80128,1.1812,0.0088862,1.3394,1.03189,0.7839,0.12802,0.72244,0.0008734,0.055032,4015.17,4212.99,4189.42,4156.99,10360.83388071063,1285.8,16.82,922,0.80321,1.1785,0.0088835,1.3436,1.02948,0.78394,0.12804,0.72185,0.00087229,0.054964,4122,4269.95,4200,4189.42,7903.920890540759,0.3110419906687403,0.0,0.10845986984815618,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-2.5958272683163512,-1.334894613583138,-0.2619047619047619,-0.763905466698496,31.085526315789476
20171002,1278.3,16.58,915,0.79968,1.1745,0.0088764,1.3275,1.02775,0.78273,0.12803,0.72011,0.00087165,0.05481,4354.23,4470,4394.81,4392.71,8647.747991940027,1289.8,16.86,923,0.80128,1.1812,0.0088862,1.3394,1.03189,0.7839,0.12802,0.72244,0.0008734,0.055032,4015.17,4212.99,4189.42,4156.99,10360.83388071063,-0.9302325581395349,0.0,-0.8667388949079089,0.0,0.0,,0.0,0.0,0.0,,0.0,,,8.443337484433375,6.100166152385474,4.917641441871568,5.6771710368053885,-16.533153170543383
20171003,1274.3,16.61,910,0.8,1.1753,0.008856,1.3246,1.02672,0.7824,0.12802,0.716,0.0008752,0.054848,4240,4419.95,4392.71,4307.99,10606.106219451514,1278.3,16.58,915,0.79968,1.1745,0.0088764,1.3275,1.02775,0.78273,0.12803,0.72011,0.00087165,0.05481,4354.23,4470,4394.81,4392.71,8647.747991940027,-0.3129890453834116,0.0,-0.546448087431694,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-2.6182820395039044,-1.1185682326621924,-0.04550625711035267,-1.9348964261324837,22.641073080481036
20171004,1279.3,16.825,915,0.80135,1.1762,0.0088709,1.3265,1.02628,0.78548,0.12809,0.71656,0.00087587,0.054852,4175.3,4344,4307.99,4214.84,6555.27096872092,1274.3,16.61,910,0.8,1.1753,0.008856,1.3246,1.02672,0.7824,0.12802,0.716,0.0008752,0.054848,4240,4419.95,4392.71,4307.99,10606.106219451514,0.39246467817896385,0.0,0.5494505494505495,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-1.5330188679245282,-1.7194570135746607,-1.9348964261324837,-2.1587743732590527,-38.19536111634923
20171005,1280.3,16.66,915,0.79694,1.1714,0.0088699,1.313,1.02208,0.78013,0.12805,0.71255,0.00087663,0.054527,4150.01,4365.21,4214.84,4320.04,6482.327784390458,1279.3,16.825,915,0.80135,1.1762,0.0088709,1.3265,1.02628,0.78548,0.12809,0.71656,0.00087587,0.054852,4175.3,4344,4307.99,4214.84,6555.27096872092,0.07818608287724785,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-0.5988023952095809,0.48342541436464087,-2.1587743732590527,2.491103202846975,-1.1136536994660564
